id;bereich_key;iteration_key;start;ende;duration_minutes;has_comment;freitext_kommentar;word_count;valence;valence_rank;arousal;arousal_raw;corner;topic_key;arousal_llm_rejected;n_no_judgement;answer_std;flag_speeder;flag_straightliner;quality_flag;teamarbeit_score;kultur_score;fuehrung_score;strategie_score;arbeitsgestaltung_score;entwicklung_score;wertschoepfung_score;engagement_score;overall_score;group_small;valence_jitter;valence_bin;arousal_bin
1;12;9;2025-05-24 11:19:00;2025-05-24 11:26:30;7,5;1;Ich sehe immer noch zu viele unnötige Papierarbeiten und bürokratische Hemmnisse. Wir solltenfinally mehr Digitalisierung und Automatisierung einführen, um Zeit und Ressourcenzu sparen.;23,0;-0,4;-0,55;-0,54;2,6580000000000004;Low Valence/Low Arousal;27,0;6,02320518479438;0;1,2246022186776477;False;False;False;2,5;2,8333333333333335;2,75;3,3333333333333335;2,5;3,0;2,4444444444444446;1,2;2,5185185185185186;0;-0,38630219757220186;-0,4;-0,6
2;4;8;2025-04-28 09:21:00;2025-04-28 09:42:24;21,4;1;Ich schätze sehr, wie unser Team mit Fehlern umgeht. Neulich ist eine wichtige Lieferung nicht rechtzeitig angekommen und ich hatte Angst vor einem großen Schaden. Aber Instead of Schuldzuweisungen oder Nervosität haben wir gemeinsam nach einer Lösung gesucht und schnell einen alternativen Lieferweg gefunden. So konnten wir unsere Kunden doch noch pünktlich beliefern und die Kundenzufriedenheit nicht gefährden. Ich bin stolz auf unser Teamwork und wie wir aus dieser Herausforderung gestärkt hervorgegangen sind.;73,0;0,75;0,9236;0,9088;3,5743666666666676;High Valence/High Arousal;-1,0;7,059608111266526;0;0,793051585718144;False;False;False;3,6666666666666665;3,8333333333333335;3,75;4,0;3,875;4,857142857142857;3,0;4,0;3,7777777777777777;0;0,7469439219876026;0,7;0,9
3;11;13;2026-03-19 01:19:00;2026-03-19 01:20:54;1,9;0;;;;;;;;;;1;0,7494555353184393;True;False;False;4,833333333333333;4,833333333333333;4,0;5,0;3,875;4,714285714285714;4,333333333333333;4,4;4,471698113207547;0;;;
4;7;14;2026-04-04 06:04:00;2026-04-04 06:25:48;21,8;0;;;;;;;;;;0;0,9415110444495093;False;False;False;3,1666666666666665;3,5;3,75;1,5;3,75;3,0;2,2222222222222223;3,4;2,9814814814814814;0;;;
5;11;6;2025-03-11 07:45:00;2025-03-11 07:52:00;7,0;1;Ich sehe einen ineffizienten Informationsfluss zwischen Abteilungen. Es gibt viele Silos, was zu Doppelarbeit und Verzögerungen führt.;17,0;-0,5;-0,7524;-0,504;2,678642857142857;Low Valence/Low Arousal;0,0;6,000513571874501;0;1,1167049963696059;False;False;False;3,8333333333333335;2,5;3,25;4,333333333333333;2,625;3,2857142857142856;1,8888888888888888;1,6;2,8703703703703702;0;-0,5202911326056175;-0,6;-0,6
6;1;5;2024-10-21 02:11:00;2024-10-21 02:16:54;5,9;0;;;;;;;;;;0;0,9348071621827703;False;False;False;4,5;4,333333333333333;3,75;3,5;3,0;3,7142857142857144;3,2222222222222223;4,0;3,6481481481481484;0;;;
7;4;13;2026-03-09 04:44:00;2026-03-09 04:57:42;13,7;0;;;;;;;;;;0;0,7597491218567644;False;False;False;4,666666666666667;4,333333333333333;4,75;4,666666666666667;4,625;4,714285714285714;3,888888888888889;3,4;4,37037037037037;0;;;
8;6;8;2025-04-30 01:45:00;2025-04-30 01:51:24;6,4;0;;;;;;;;;;0;0,7652479809819334;False;False;False;4,333333333333333;3,1666666666666665;3,5;3,5;3,875;2,2857142857142856;3,2222222222222223;3,6;3,4074074074074074;0;;;
9;1;1;2024-03-24 00:53:00;2024-03-24 01:04:12;11,2;1;Ich persönlich finde unseren Arbeitsplatz recht beengt. Es gibt kaum Fläche für meine Arbeit und ich muss mich ständig mit meinen Nachbarn arrangieren. Die Büromöbel sehen zwar noch passabel aus, aber sie sind nicht sonderlich ergonomisch. Eine Verbesserung der Ausstattung könnte hier für mehr Komfort sorgen.;46,0;-0,3;-0,21120000000000005;-0,4736;2,6927333333333334;Low Valence/Low Arousal;2,0;4,4251347993969725;0;0,7627325916002987;False;False;False;3,0;2,3333333333333335;2,5;2,1666666666666665;2,75;3,142857142857143;2,888888888888889;2,0;2,611111111111111;0;-0,3185943183662227;-0,4;-0,5
10;9;10;2025-09-12 02:47:00;2025-09-12 02:51:48;4,8;0;;;;;;;;;;0;0,9850383186294904;False;False;False;3,1666666666666665;3,5;4,5;2,3333333333333335;4,5;3,0;3,7777777777777777;3,2;3,462962962962963;0;;;
11;5;1;2024-03-08 00:54:00;2024-03-08 01:06:12;12,2;1;Ich schätze die klar definierten Abläufe und die modernen Werkzeuge sehr. Dadurch kann ich meine Arbeit effizient und ohne großen Aufwand erledigen.;22,0;0,5;0,6192;-0,5184;2,6692222222222224;High Valence/Low Arousal;11,0;4,324444620140153;0;0,6986559923648874;False;False;False;4,333333333333333;4,333333333333333;4,25;3,6666666666666665;4,5;4,571428571428571;4,444444444444445;3,6;4,2407407407407405;0;0,49353990121162905;0,4;-0,6
12;12;1;2024-03-11 03:04:00;2024-03-11 03:10:36;6,6;1;Die Ausstattung in unserem Unternehmen ist generell gut und funktioniertmostly. Allerdings gibt es einige Bereiche, in denen die Geräte veraltet sind und dringend ersetzt werden sollten. Es wäre auch schön, wenn mehr Aufmerksamkeit auf die Arbeitsumgebung gelegt würde, um eine angenehmere Atmosphäre für Mitarbeiter zu schaffen.;46,0;-0,3;-0,21120000000000005;-0,5464;2,6553125;Low Valence/Low Arousal;2,0;4,306918232644928;0;1,1805848436371933;False;False;False;3,5;3,3333333333333335;3,75;4,666666666666667;3,75;3,4285714285714284;4,444444444444445;3,4;3,759259259259259;0;-0,2786617505575699;-0,3;-0,6
13;11;12;2025-10-24 03:53:00;2025-10-24 04:06:36;13,6;1;Ich finde es sehr gut, dass wir in den letzten Jahren auf digitale Werkzeuge umgestellt haben. Sie haben uns viel Zeit und Nerven erspart. Allerdings sind die Prozesse oft unklar und nicht transparent genug. Es gibt immer wieder Diskussionen darüber, wer welche Aufgaben hat oder wer für was zuständig ist. Das kostet wertvolle Arbeitszeit und führt leider auch oft zu Fehlern.;61,0;-0,3;-0,21120000000000005;-0,352;2,7377777777777776;Low Valence/Low Arousal;27,0;5,964653693919282;0;1,5427746882303663;False;False;False;2,3333333333333335;2,1666666666666665;3,0;3,3333333333333335;3,625;3,2857142857142856;3,2222222222222223;4,2;3,185185185185185;0;-0,29280674399596673;-0,3;-0,4
14;7;12;2025-10-25 11:51:00;2025-10-25 12:00:12;9,2;1;Ich verstehe die Strategie nicht und das ist problematisch für meine Arbeit. Wir sollten klare Ziele haben und diese regelmäßig kommunizieren.;21,0;-0,4;-0,55;0,7784;3,3573333333333335;Low Valence/High Arousal;1,0;5,78987412943845;0;0,6926286533435969;False;False;False;5,0;4,666666666666667;4,75;5,0;4,375;4,714285714285714;3,7777777777777777;4,2;4,537037037037037;0;-0,3838619193364585;-0,4;0,7
15;7;3;2024-09-15 04:58:00;2024-09-15 05:19:12;21,2;0;;;;;;;;;;0;1,0713536960959087;False;False;False;3,5;2,5;3,25;3,1666666666666665;3,375;2,4285714285714284;3,111111111111111;3,4;3,0555555555555554;0;;;
