division;iteration_key;arousal_zelle;valence_zelle;dichte
KE;1;-0,9833;-0,6833;0,0001
KE;1;-0,9833;-0,65;0,0001
KE;1;-0,9833;-0,6167;0,0002
KE;1;-0,9833;-0,5833;0,0002
KE;1;-0,9833;-0,55;0,0005
KE;1;-0,9833;-0,5167;0,0013
KE;1;-0,9833;-0,4833;0,0039
KE;1;-0,9833;-0,45;0,0098
KE;1;-0,9833;-0,4167;0,0205
KE;1;-0,9833;-0,3833;0,0346
KE;1;-0,9833;-0,35;0,0474
KE;1;-0,9833;-0,3167;0,0527
KE;1;-0,9833;-0,2833;0,0474
KE;1;-0,9833;-0,25;0,0346
KE;1;-0,9833;-0,2167;0,0204
KE;1;-0,9833;-0,1833;0,0098
KE;1;-0,9833;-0,15;0,0038
KE;1;-0,9833;-0,1167;0,0012
KE;1;-0,9833;-0,0833;0,0003
KE;1;-0,9833;-0,05;0,0001
KE;1;-0,9833;0,0167;0,0001
KE;1;-0,9833;0,05;0,0003
KE;1;-0,9833;0,0833;0,0007
KE;1;-0,9833;0,1167;0,0015
KE;1;-0,9833;0,15;0,0025
KE;1;-0,9833;0,1833;0,0037
KE;1;-0,9833;0,2167;0,0044
KE;1;-0,9833;0,25;0,0045
KE;1;-0,9833;0,2833;0,0044
KE;1;-0,9833;0,3167;0,0046
KE;1;-0,9833;0,35;0,0062
KE;1;-0,9833;0,3833;0,01
KE;1;-0,9833;0,4167;0,0154
KE;1;-0,9833;0,45;0,0206
KE;1;-0,9833;0,4833;0,0228
KE;1;-0,9833;0,5167;0,0205
KE;1;-0,9833;0,55;0,0151
KE;1;-0,9833;0,5833;0,009
KE;1;-0,9833;0,6167;0,0043
KE;1;-0,9833;0,65;0,0017
KE;1;-0,9833;0,6833;0,0005
KE;1;-0,9833;0,7167;0,0001
KE;1;-0,95;-0,7167;0,0001
KE;1;-0,95;-0,6833;0,0002
KE;1;-0,95;-0,65;0,0003
KE;1;-0,95;-0,6167;0,0004
KE;1;-0,95;-0,5833;0,0005
KE;1;-0,95;-0,55;0,0007
KE;1;-0,95;-0,5167;0,0014
KE;1;-0,95;-0,4833;0,0037
KE;1;-0,95;-0,45;0,009
KE;1;-0,95;-0,4167;0,0187
KE;1;-0,95;-0,3833;0,0316
KE;1;-0,95;-0,35;0,0433
KE;1;-0,95;-0,3167;0,0481
KE;1;-0,95;-0,2833;0,0433
KE;1;-0,95;-0,25;0,0316
KE;1;-0,95;-0,2167;0,0187
KE;1;-0,95;-0,1833;0,0089
KE;1;-0,95;-0,15;0,0035
KE;1;-0,95;-0,1167;0,0011
KE;1;-0,95;-0,0833;0,0003
KE;1;-0,95;-0,05;0,0001
KE;1;-0,95;0,0167;0,0001
KE;1;-0,95;0,05;0,0004
KE;1;-0,95;0,0833;0,0011
KE;1;-0,95;0,1167;0,0023
KE;1;-0,95;0,15;0,004
KE;1;-0,95;0,1833;0,0058
KE;1;-0,95;0,2167;0,007
KE;1;-0,95;0,25;0,0074
KE;1;-0,95;0,2833;0,0071
KE;1;-0,95;0,3167;0,0071
KE;1;-0,95;0,35;0,0088
KE;1;-0,95;0,3833;0,0131
KE;1;-0,95;0,4167;0,0197
KE;1;-0,95;0,45;0,0261
KE;1;-0,95;0,4833;0,0288
KE;1;-0,95;0,5167;0,026
KE;1;-0,95;0,55;0,0191
KE;1;-0,95;0,5833;0,0114
KE;1;-0,95;0,6167;0,0056
KE;1;-0,95;0,65;0,0022
KE;1;-0,95;0,6833;0,0007
KE;1;-0,95;0,7167;0,0002
KE;1;-0,9167;-0,75;0,0001
KE;1;-0,9167;-0,7167;0,0002
KE;1;-0,9167;-0,6833;0,0004
KE;1;-0,9167;-0,65;0,0007
KE;1;-0,9167;-0,6167;0,001
KE;1;-0,9167;-0,5833;0,0012
KE;1;-0,9167;-0,55;0,0013
KE;1;-0,9167;-0,5167;0,0018
KE;1;-0,9167;-0,4833;0,0035
KE;1;-0,9167;-0,45;0,008
KE;1;-0,9167;-0,4167;0,0161
KE;1;-0,9167;-0,3833;0,0271
KE;1;-0,9167;-0,35;0,0372
KE;1;-0,9167;-0,3167;0,0413
KE;1;-0,9167;-0,2833;0,0371
KE;1;-0,9167;-0,25;0,0271
KE;1;-0,9167;-0,2167;0,016
KE;1;-0,9167;-0,1833;0,0077
KE;1;-0,9167;-0,15;0,003
KE;1;-0,9167;-0,1167;0,0009
KE;1;-0,9167;-0,0833;0,0002
KE;1;-0,9167;-0,05;0,0001
KE;1;-0,9167;-0,0167;0,0001
KE;1;-0,9167;0,0167;0,0002
KE;1;-0,9167;0,05;0,0007
KE;1;-0,9167;0,0833;0,0019
KE;1;-0,9167;0,1167;0,004
KE;1;-0,9167;0,15;0,007
KE;1;-0,9167;0,1833;0,0102
KE;1;-0,9167;0,2167;0,0125
KE;1;-0,9167;0,25;0,0132
KE;1;-0,9167;0,2833;0,0127
KE;1;-0,9167;0,3167;0,0123
KE;1;-0,9167;0,35;0,0138
KE;1;-0,9167;0,3833;0,0189
KE;1;-0,9167;0,4167;0,0272
KE;1;-0,9167;0,45;0,0355
KE;1;-0,9167;0,4833;0,0391
KE;1;-0,9167;0,5167;0,0355
KE;1;-0,9167;0,55;0,0263
KE;1;-0,9167;0,5833;0,0158
KE;1;-0,9167;0,6167;0,0078
KE;1;-0,9167;0,65;0,0031
KE;1;-0,9167;0,6833;0,001
KE;1;-0,9167;0,7167;0,0003
KE;1;-0,9167;0,75;0,0001
KE;1;-0,8833;-0,7833;0,0001
KE;1;-0,8833;-0,75;0,0002
KE;1;-0,8833;-0,7167;0,0005
KE;1;-0,8833;-0,6833;0,001
KE;1;-0,8833;-0,65;0,0017
KE;1;-0,8833;-0,6167;0,0024
KE;1;-0,8833;-0,5833;0,0028
KE;1;-0,8833;-0,55;0,0029
KE;1;-0,8833;-0,5167;0,0029
KE;1;-0,8833;-0,4833;0,0039
KE;1;-0,8833;-0,45;0,0074
KE;1;-0,8833;-0,4167;0,0142
KE;1;-0,8833;-0,3833;0,0236
KE;1;-0,8833;-0,35;0,0323
KE;1;-0,8833;-0,3167;0,0358
KE;1;-0,8833;-0,2833;0,0322
KE;1;-0,8833;-0,25;0,0235
KE;1;-0,8833;-0,2167;0,0139
KE;1;-0,8833;-0,1833;0,0067
KE;1;-0,8833;-0,15;0,0026
KE;1;-0,8833;-0,1167;0,0008
KE;1;-0,8833;-0,0833;0,0002
KE;1;-0,8833;-0,05;0,0001
KE;1;-0,8833;-0,0167;0,0001
KE;1;-0,8833;0,0167;0,0004
KE;1;-0,8833;0,05;0,0011
KE;1;-0,8833;0,0833;0,003
KE;1;-0,8833;0,1167;0,0064
KE;1;-0,8833;0,15;0,0113
KE;1;-0,8833;0,1833;0,0166
KE;1;-0,8833;0,2167;0,0207
KE;1;-0,8833;0,25;0,0222
KE;1;-0,8833;0,2833;0,0214
KE;1;-0,8833;0,3167;0,0201
KE;1;-0,8833;0,35;0,0209
KE;1;-0,8833;0,3833;0,0263
KE;1;-0,8833;0,4167;0,036
KE;1;-0,8833;0,45;0,0462
KE;1;-0,8833;0,4833;0,0509
KE;1;-0,8833;0,5167;0,0464
KE;1;-0,8833;0,55;0,0346
KE;1;-0,8833;0,5833;0,0211
KE;1;-0,8833;0,6167;0,0105
KE;1;-0,8833;0,65;0,0043
KE;1;-0,8833;0,6833;0,0015
KE;1;-0,8833;0,7167;0,0005
KE;1;-0,8833;0,75;0,0002
KE;1;-0,8833;0,7833;0,0001
KE;1;-0,8833;0,8167;0,0001
KE;1;-0,85;-0,7833;0,0001
KE;1;-0,85;-0,75;0,0004
KE;1;-0,85;-0,7167;0,001
KE;1;-0,85;-0,6833;0,0021
KE;1;-0,85;-0,65;0,0036
KE;1;-0,85;-0,6167;0,0051
KE;1;-0,85;-0,5833;0,0059
KE;1;-0,85;-0,55;0,0058
KE;1;-0,85;-0,5167;0,0053
KE;1;-0,85;-0,4833;0,0055
KE;1;-0,85;-0,45;0,0081
KE;1;-0,85;-0,4167;0,0141
KE;1;-0,85;-0,3833;0,0229
KE;1;-0,85;-0,35;0,031
KE;1;-0,85;-0,3167;0,0344
KE;1;-0,85;-0,2833;0,0309
KE;1;-0,85;-0,25;0,0225
KE;1;-0,85;-0,2167;0,0133
KE;1;-0,85;-0,1833;0,0064
KE;1;-0,85;-0,15;0,0025
KE;1;-0,85;-0,1167;0,0008
KE;1;-0,85;-0,0833;0,0002
KE;1;-0,85;-0,05;0,0001
KE;1;-0,85;-0,0167;0,0001
KE;1;-0,85;0,0167;0,0005
KE;1;-0,85;0,05;0,0016
KE;1;-0,85;0,0833;0,0042
KE;1;-0,85;0,1167;0,0092
KE;1;-0,85;0,15;0,0164
KE;1;-0,85;0,1833;0,0244
KE;1;-0,85;0,2167;0,0308
KE;1;-0,85;0,25;0,0334
KE;1;-0,85;0,2833;0,0324
KE;1;-0,85;0,3167;0,0299
KE;1;-0,85;0,35;0,0292
KE;1;-0,85;0,3833;0,0337
KE;1;-0,85;0,4167;0,0437
KE;1;-0,85;0,45;0,0551
KE;1;-0,85;0,4833;0,0607
KE;1;-0,85;0,5167;0,0557
KE;1;-0,85;0,55;0,0421
KE;1;-0,85;0,5833;0,0261
KE;1;-0,85;0,6167;0,0133
KE;1;-0,85;0,65;0,0057
KE;1;-0,85;0,6833;0,0022
KE;1;-0,85;0,7167;0,0009
KE;1;-0,85;0,75;0,0005
KE;1;-0,85;0,7833;0,0003
KE;1;-0,85;0,8167;0,0002
KE;1;-0,85;0,85;0,0001
KE;1;-0,8167;-0,8167;0,0001
KE;1;-0,8167;-0,7833;0,0002
KE;1;-0,8167;-0,75;0,0007
KE;1;-0,8167;-0,7167;0,0018
KE;1;-0,8167;-0,6833;0,0038
KE;1;-0,8167;-0,65;0,0066
KE;1;-0,8167;-0,6167;0,0094
KE;1;-0,8167;-0,5833;0,011
KE;1;-0,8167;-0,55;0,0109
KE;1;-0,8167;-0,5167;0,0095
KE;1;-0,8167;-0,4833;0,0086
KE;1;-0,8167;-0,45;0,0103
KE;1;-0,8167;-0,4167;0,0162
KE;1;-0,8167;-0,3833;0,0252
KE;1;-0,8167;-0,35;0,0339
KE;1;-0,8167;-0,3167;0,0375
KE;1;-0,8167;-0,2833;0,0337
KE;1;-0,8167;-0,25;0,0246
KE;1;-0,8167;-0,2167;0,0145
KE;1;-0,8167;-0,1833;0,007
KE;1;-0,8167;-0,15;0,0027
KE;1;-0,8167;-0,1167;0,0008
KE;1;-0,8167;-0,0833;0,0002
KE;1;-0,8167;-0,05;0,0001
KE;1;-0,8167;-0,0167;0,0002
KE;1;-0,8167;0,0167;0,0006
KE;1;-0,8167;0,05;0,002
KE;1;-0,8167;0,0833;0,0054
KE;1;-0,8167;0,1167;0,0118
KE;1;-0,8167;0,15;0,0214
KE;1;-0,8167;0,1833;0,0322
KE;1;-0,8167;0,2167;0,0411
KE;1;-0,8167;0,25;0,0453
KE;1;-0,8167;0,2833;0,0442
KE;1;-0,8167;0,3167;0,04
KE;1;-0,8167;0,35;0,037
KE;1;-0,8167;0,3833;0,0394
KE;1;-0,8167;0,4167;0,0483
KE;1;-0,8167;0,45;0,0597
KE;1;-0,8167;0,4833;0,0658
KE;1;-0,8167;0,5167;0,0611
KE;1;-0,8167;0,55;0,0469
KE;1;-0,8167;0,5833;0,0297
KE;1;-0,8167;0,6167;0,0156
KE;1;-0,8167;0,65;0,0071
KE;1;-0,8167;0,6833;0,0032
KE;1;-0,8167;0,7167;0,0017
KE;1;-0,8167;0,75;0,0011
KE;1;-0,8167;0,7833;0,0007
